Generic Color Name,RGB,R,G,B,HexCode
Beige,"R=0, G=129, B=104",0,129,104,8168
Beige,"R=1, G=1, B=1",1,1,1,10101
Beige,"R=100, G=75, B=50",100,75,50,644B32
Beige,"R=100, G=87, B=81",100,87,81,645751
Beige,"R=100, G=95, B=90",100,95,90,645F5A
Beige,"R=101, G=89, B=63",101,89,63,65593F
Beige,"R=102, G=96, B=85",102,96,85,666055
Beige,"R=103, G=95, B=56",103,95,56,675F38
Beige,"R=105, G=104, B=102",105,104,102,696866
Beige,"R=105, G=92, B=76",105,92,76,695C4C
Beige,"R=105, G=94, B=76",105,94,76,695E4C
Beige,"R=106, G=101, B=94",106,101,94,6A655E
Beige,"R=107, G=90, B=82",107,90,82,6B5A52
Beige,"R=107, G=93, B=74",107,93,74,6B5D4A
Beige,"R=107, G=97, B=90",107,97,90,6B615A
Beige,"R=108, G=64, B=48",108,64,48,6C4030
Beige,"R=108, G=90, B=79",108,90,79,6C5A4F
Beige,"R=109, G=105, B=102",109,105,102,6D6966
Beige,"R=109, G=94, B=86",109,94,86,6D5E56
Beige,"R=109, G=99, B=87",109,99,87,6D6357
Beige,"R=110, G=90, B=80",110,90,80,6E5A50
Beige,"R=110, G=99, B=65",110,99,65,6E6341
Beige,"R=110, G=99, B=89",110,99,89,6E6359
Beige,"R=111, G=105, B=83",111,105,83,6F6953
Beige,"R=113, G=100, B=81",113,100,81,716451
Beige,"R=113, G=109, B=100",113,109,100,716D64
Beige,"R=114, G=86, B=67",114,86,67,725643
Beige,"R=115, G=101, B=82",115,101,82,736552
Beige,"R=115, G=106, B=99",115,106,99,736A63
Beige,"R=116, G=111, B=79",116,111,79,746F4F
Beige,"R=116, G=116, B=116",116,116,116,747474
Beige,"R=117, G=102, B=104",117,102,104,756668
Beige,"R=117, G=112, B=97",117,112,97,757061
Beige,"R=118, G=105, B=89",118,105,89,766959
Beige,"R=119, G=105, B=88",119,105,88,776958
Beige,"R=119, G=112, B=94",119,112,94,77705E
Beige,"R=120, G=101, B=86",120,101,86,786556
Beige,"R=120, G=102, B=82",120,102,82,786652
Beige,"R=120, G=102, B=90",120,102,90,78665A
Beige,"R=120, G=107, B=103",120,107,103,786B67
Beige,"R=122, G=101, B=72",122,101,72,7A6548
Beige,"R=122, G=116, B=104",122,116,104,7A7468
Beige,"R=122, G=116, B=105",122,116,105,7A7469
Beige,"R=123, G=119, B=110",123,119,110,7B776E
Beige,"R=123, G=121, B=116",123,121,116,7B7974
Beige,"R=123, G=99, B=90",123,99,90,7B635A
Beige,"R=125, G=115, B=105",125,115,105,7D7369
Beige,"R=125, G=125, B=125",125,125,125,7D7D7D
Beige,"R=126, G=103, B=71",126,103,71,7E6747
Beige,"R=126, G=111, B=82",126,111,82,7E6F52
Beige,"R=126, G=112, B=103",126,112,103,7E7067
Beige,"R=126, G=113, B=107",126,113,107,7E716B
Beige,"R=127, G=96, B=78",127,96,78,7F604E
Beige,"R=128, G=128, B=64",128,128,64,808040
Beige,"R=129, G=113, B=106",129,113,106,81716A
Beige,"R=129, G=117, B=105",129,117,105,817569
Beige,"R=129, G=120, B=112",129,120,112,817870
Beige,"R=130, G=100, B=60",130,100,60,82643C
Beige,"R=130, G=100, B=85",130,100,85,826455
Beige,"R=130, G=112, B=88",130,112,88,827058
Beige,"R=130, G=115, B=48",130,115,48,827330
Beige,"R=130, G=123, B=87",130,123,87,827B57
Beige,"R=130, G=80, B=56",130,80,56,825038
Beige,"R=131, G=113, B=111",131,113,111,83716F
Beige,"R=131, G=119, B=103",131,119,103,837767
Beige,"R=131, G=129, B=100",131,129,100,838164
Beige,"R=132, G=117, B=103",132,117,103,847567
Beige,"R=132, G=117, B=76",132,117,76,84754C
Beige,"R=132, G=119, B=102",132,119,102,847766
Beige,"R=132, G=125, B=119",132,125,119,847D77
Beige,"R=132, G=126, B=110",132,126,110,847E6E
Beige,"R=132, G=128, B=118",132,128,118,848076
Beige,"R=133, G=120, B=103",133,120,103,857867
Beige,"R=133, G=129, B=119",133,129,119,858177
Beige,"R=134, G=125, B=110",134,125,110,867D6E
Beige,"R=134, G=129, B=108",134,129,108,86816C
Beige,"R=134, G=131, B=124",134,131,124,86837C
Beige,"R=134, G=95, B=61",134,95,61,865F3D
Beige,"R=135, G=108, B=81",135,108,81,876C51
Beige,"R=135, G=126, B=114",135,126,114,8.77E+74
Beige,"R=135, G=127, B=115",135,127,115,877F73
Beige,"R=136, G=117, B=103",136,117,103,887567
Beige,"R=136, G=117, B=91",136,117,91,88755B
Beige,"R=136, G=123, B=107",136,123,107,887B6B
Beige,"R=136, G=125, B=109",136,125,109,887D6D
Beige,"R=136, G=129, B=119",136,129,119,888177
Beige,"R=136, G=135, B=123",136,135,123,88877B
Beige,"R=137, G=125, B=109",137,125,109,897D6D
Beige,"R=137, G=126, B=109",137,126,109,897E6D
Beige,"R=137, G=126, B=110",137,126,110,897E6E
Beige,"R=137, G=145, B=141",137,145,141,89918D
Beige,"R=138, G=105, B=65",138,105,65,8A6941
Beige,"R=138, G=127, B=110",138,127,110,8A7F6E
Beige,"R=138, G=127, B=99",138,127,99,8A7F63
Beige,"R=139, G=116, B=85",139,116,85,8B7455
Beige,"R=139, G=122, B=114",139,122,114,8B7A72
Beige,"R=139, G=126, B=109",139,126,109,8B7E6D
Beige,"R=139, G=131, B=105",139,131,105,8B8369
Beige,"R=140, G=117, B=90",140,117,90,8C755A
Beige,"R=140, G=121, B=90",140,121,90,8C795A
Beige,"R=140, G=128, B=106",140,128,106,8C806A
Beige,"R=141, G=119, B=107",141,119,107,8D776B
Beige,"R=141, G=122, B=89",141,122,89,8D7A59
Beige,"R=141, G=124, B=114",141,124,114,8D7C72
Beige,"R=141, G=133, B=126",141,133,126,8D857E
Beige,"R=141, G=133, B=132",141,133,132,8D8584
Beige,"R=141, G=138, B=131",141,138,131,8D8A83
Beige,"R=141, G=141, B=132",141,141,132,8D8D84
Beige,"R=141, G=88, B=56",141,88,56,8D5838
Beige,"R=142, G=121, B=96",142,121,96,8E7960
Beige,"R=142, G=124, B=100",142,124,100,8E7C64
Beige,"R=142, G=125, B=82",142,125,82,8E7D52
Beige,"R=142, G=133, B=100",142,133,100,8E8564
Beige,"R=142, G=134, B=132",142,134,132,8E8684
Beige,"R=142, G=139, B=122",142,139,122,8E8B7A
Beige,"R=142, G=143, B=113",142,143,113,8E8F71
Beige,"R=143, G=117, B=90",143,117,90,8F755A
Beige,"R=144, G=118, B=95",144,118,95,90765F
Beige,"R=144, G=122, B=99",144,122,99,907A63
Beige,"R=144, G=133, B=111",144,133,111,90856F
Beige,"R=144, G=137, B=123",144,137,123,90897B
Beige,"R=144, G=143, B=122",144,143,122,908F7A
Beige,"R=144, G=99, B=70",144,99,70,906346
Beige,"R=145, G=132, B=115",145,132,115,918473
Beige,"R=145, G=133, B=120",145,133,120,918578
Beige,"R=145, G=137, B=117",145,137,117,918975
Beige,"R=145, G=143, B=131",145,143,131,918F83
Beige,"R=146, G=129, B=104",146,129,104,928168
Beige,"R=146, G=134, B=124",146,134,124,92867C
Beige,"R=146, G=135, B=103",146,135,103,928767
Beige,"R=146, G=143, B=128",146,143,128,928F80
Beige,"R=146, G=146, B=125",146,146,125,92927D
Beige,"R=146, G=154, B=109",146,154,109,929A6D
Beige,"R=147, G=117, B=102",147,117,102,937566
Beige,"R=147, G=132, B=103",147,132,103,938467
Beige,"R=148, G=129, B=114",148,129,114,948172
Beige,"R=148, G=130, B=107",148,130,107,94826B
Beige,"R=148, G=134, B=123",148,134,123,94867B
Beige,"R=148, G=134, B=84",148,134,84,948654
Beige,"R=148, G=137, B=120",148,137,120,948978
Beige,"R=148, G=140, B=121",148,140,121,948C79
Beige,"R=149, G=129, B=107",149,129,107,95816B
Beige,"R=149, G=132, B=116",149,132,116,958474
Beige,"R=149, G=132, B=119",149,132,119,958477
Beige,"R=149, G=136, B=118",149,136,118,958876
Beige,"R=149, G=148, B=120",149,148,120,959478
Beige,"R=149, G=148, B=128",149,148,128,959480
Beige,"R=149, G=150, B=144",149,150,144,959690
Beige,"R=150, G=104, B=70",150,104,70,966846
Beige,"R=150, G=124, B=91",150,124,91,967C5B
Beige,"R=150, G=132, B=117",150,132,117,968475
Beige,"R=150, G=133, B=113",150,133,113,968571
Beige,"R=150, G=137, B=120",150,137,120,968978
Beige,"R=150, G=138, B=123",150,138,123,968A7B
Beige,"R=150, G=138, B=131",150,138,131,968A83
Beige,"R=150, G=140, B=130",150,140,130,968C82
Beige,"R=150, G=144, B=128",150,144,128,969080
Beige,"R=150, G=145, B=134",150,145,134,969186
Beige,"R=150, G=150, B=135",150,150,135,969687
Beige,"R=150, G=155, B=120",150,155,120,969B78
Beige,"R=150, G=166, B=113",150,166,113,96A671
Beige,"R=151, G=129, B=100",151,129,100,978164
Beige,"R=151, G=140, B=108",151,140,108,978C6C
Beige,"R=151, G=143, B=130",151,143,130,978F82
Beige,"R=152, G=131, B=110",152,131,110,98836E
Beige,"R=152, G=135, B=116",152,135,116,988774
Beige,"R=152, G=136, B=111",152,136,111,98886F
Beige,"R=152, G=140, B=126",152,140,126,988C7E
Beige,"R=152, G=148, B=133",152,148,133,989485
Beige,"R=153, G=102, B=51",153,102,51,996633
Beige,"R=153, G=121, B=102",153,121,102,997966
Beige,"R=153, G=131, B=106",153,131,106,99836A
Beige,"R=153, G=131, B=107",153,131,107,99836B
Beige,"R=153, G=131, B=94",153,131,94,99835E
Beige,"R=153, G=139, B=128",153,139,128,998B80
Beige,"R=153, G=143, B=111",153,143,111,998F6F
Beige,"R=153, G=143, B=133",153,143,133,998F85
Beige,"R=153, G=149, B=134",153,149,134,999586
Beige,"R=154, G=101, B=51",154,101,51,9A6533
Beige,"R=154, G=108, B=75",154,108,75,9A6C4B
Beige,"R=154, G=120, B=75",154,120,75,9A784B
Beige,"R=154, G=125, B=96",154,125,96,9A7D60
Beige,"R=154, G=134, B=97",154,134,97,9A8661
Beige,"R=154, G=141, B=125",154,141,125,9A8D7D
Beige,"R=154, G=142, B=116",154,142,116,9A8E74
Beige,"R=154, G=144, B=133",154,144,133,9A9085
Beige,"R=154, G=144, B=134",154,144,134,9A9086
Beige,"R=154, G=146, B=135",154,146,135,9A9287
Beige,"R=154, G=150, B=129",154,150,129,9A9681
Beige,"R=154, G=154, B=147",154,154,147,9A9A93
Beige,"R=155, G=142, B=126",155,142,126,9B8E7E
Beige,"R=155, G=143, B=129",155,143,129,9B8F81
Beige,"R=155, G=144, B=125",155,144,125,9B907D
Beige,"R=155, G=149, B=133",155,149,133,9B9585
Beige,"R=156, G=105, B=57",156,105,57,9C6939
Beige,"R=156, G=107, B=14",156,107,14,9C6B0E
Beige,"R=156, G=107, B=74",156,107,74,9C6B4A
Beige,"R=156, G=121, B=74",156,121,74,9C794A
Beige,"R=156, G=128, B=92",156,128,92,9C805C
Beige,"R=156, G=130, B=115",156,130,115,9C8273
Beige,"R=156, G=137, B=104",156,137,104,9C8968
Beige,"R=156, G=137, B=114",156,137,114,9C8972
Beige,"R=156, G=138, B=115",156,138,115,9C8A73
Beige,"R=156, G=140, B=107",156,140,107,9C8C6B
Beige,"R=156, G=140, B=115",156,140,115,9C8C73
Beige,"R=156, G=140, B=117",156,140,117,9C8C75
Beige,"R=156, G=142, B=123",156,142,123,9C8E7B
Beige,"R=156, G=142, B=132",156,142,132,9C8E84
Beige,"R=156, G=143, B=127",156,143,127,9C8F7F
Beige,"R=156, G=143, B=132",156,143,132,9C8F84
Beige,"R=156, G=144, B=128",156,144,128,9C9080
Beige,"R=156, G=148, B=140",156,148,140,9C948C
Beige,"R=156, G=152, B=143",156,152,143,9C988F
Beige,"R=156, G=156, B=115",156,156,115,9C9C73
Beige,"R=156, G=156, B=132",156,156,132,9C9C84
Beige,"R=157, G=142, B=128",157,142,128,9D8E80
Beige,"R=157, G=143, B=134",157,143,134,9D8F86
Beige,"R=157, G=147, B=122",157,147,122,9D937A
Beige,"R=157, G=151, B=131",157,151,131,9D9783
Beige,"R=157, G=151, B=132",157,151,132,9D9784
Beige,"R=157, G=151, B=136",157,151,136,9D9788
Beige,"R=158, G=115, B=79",158,115,79,9E734F
Beige,"R=158, G=135, B=103",158,135,103,9E8767
Beige,"R=158, G=140, B=123",158,140,123,9E8C7B
Beige,"R=158, G=141, B=121",158,141,121,9E8D79
Beige,"R=158, G=148, B=121",158,148,121,9E9479
Beige,"R=158, G=149, B=133",158,149,133,9E9585
Beige,"R=158, G=150, B=137",158,150,137,9E9689
Beige,"R=158, G=151, B=135",158,151,135,9E9787
Beige,"R=159, G=113, B=79",159,113,79,9F714F
Beige,"R=159, G=123, B=77",159,123,77,9F7B4D
Beige,"R=159, G=133, B=103",159,133,103,9F8567
Beige,"R=159, G=144, B=107",159,144,107,9F906B
Beige,"R=159, G=146, B=126",159,146,126,9F927E
Beige,"R=159, G=147, B=131",159,147,131,9F9383
Beige,"R=159, G=149, B=139",159,149,139,9F958B
Beige,"R=159, G=150, B=136",159,150,136,9F9688
Beige,"R=159, G=178, B=151",159,178,151,9FB297
Beige,"R=160, G=110, B=75",160,110,75,A06E4B
Beige,"R=160, G=126, B=98",160,126,98,A07E62
Beige,"R=160, G=130, B=90",160,130,90,A0825A
Beige,"R=160, G=134, B=111",160,134,111,A0866F
Beige,"R=160, G=140, B=100",160,140,100,A08C64
Beige,"R=160, G=145, B=132",160,145,132,A09184
Beige,"R=160, G=145, B=135",160,145,135,A09187
Beige,"R=160, G=146, B=122",160,146,122,A0927A
Beige,"R=160, G=147, B=127",160,147,127,A0937F
Beige,"R=160, G=148, B=120",160,148,120,A09478
Beige,"R=160, G=148, B=133",160,148,133,A09485
Beige,"R=160, G=149, B=131",160,149,131,A09583
Beige,"R=160, G=150, B=125",160,150,125,A0967D
Beige,"R=160, G=150, B=127",160,150,127,A0967F
Beige,"R=160, G=150, B=135",160,150,135,A09687
Beige,"R=160, G=153, B=125",160,153,125,A0997D
Beige,"R=160, G=154, B=144",160,154,144,A09A90
Beige,"R=160, G=157, B=148",160,157,148,A09D94
Beige,"R=160, G=158, B=137",160,158,137,A09E89
Beige,"R=160, G=159, B=143",160,159,143,A09F8F
Beige,"R=160, G=160, B=140",160,160,140,A0A08C
Beige,"R=161, G=117, B=88",161,117,88,A17558
Beige,"R=161, G=129, B=88",161,129,88,A18158
Beige,"R=161, G=135, B=112",161,135,112,A18770
Beige,"R=161, G=142, B=120",161,142,120,A18E78
Beige,"R=161, G=143, B=127",161,143,127,A18F7F
Beige,"R=161, G=152, B=121",161,152,121,A19879
Beige,"R=161, G=155, B=146",161,155,146,A19B92
Beige,"R=161, G=158, B=144",161,158,144,A19E90
Beige,"R=162, G=118, B=80",162,118,80,A27650
Beige,"R=162, G=120, B=84",162,120,84,A27854
Beige,"R=162, G=124, B=79",162,124,79,A27C4F
Beige,"R=162, G=134, B=95",162,134,95,A2865F
Beige,"R=162, G=139, B=98",162,139,98,A28B62
Beige,"R=162, G=140, B=129",162,140,129,A28C81
Beige,"R=162, G=142, B=120",162,142,120,A28E78
Beige,"R=162, G=145, B=135",162,145,135,A29187
Beige,"R=162, G=151, B=123",162,151,123,A2977B
Beige,"R=162, G=153, B=130",162,153,130,A29982
Beige,"R=162, G=155, B=149",162,155,149,A29B95
Beige,"R=162, G=157, B=151",162,157,151,A29D97
Beige,"R=163, G=142, B=125",163,142,125,A38E7D
Beige,"R=163, G=153, B=133",163,153,133,A39985
Beige,"R=163, G=155, B=136",163,155,136,A39B88
Beige,"R=163, G=156, B=123",163,156,123,A39C7B
Beige,"R=163, G=156, B=129",163,156,129,A39C81
Beige,"R=163, G=158, B=146",163,158,146,A39E92
Beige,"R=163, G=161, B=147",163,161,147,A3A193
Beige,"R=163, G=165, B=147",163,165,147,A3A593
Beige,"R=164, G=129, B=91",164,129,91,A4815B
Beige,"R=164, G=143, B=123",164,143,123,A48F7B
Beige,"R=164, G=148, B=132",164,148,132,A49484
Beige,"R=164, G=150, B=110",164,150,110,A4966E
Beige,"R=164, G=153, B=138",164,153,138,A4998A
Beige,"R=164, G=154, B=123",164,154,123,A49A7B
Beige,"R=164, G=154, B=126",164,154,126,A49A7E
Beige,"R=164, G=163, B=152",164,163,152,A4A398
Beige,"R=165, G=118, B=74",165,118,74,A5764A
Beige,"R=165, G=132, B=99",165,132,99,A58463
Beige,"R=165, G=146, B=123",165,146,123,A5927B
Beige,"R=165, G=146, B=128",165,146,128,A59280
Beige,"R=165, G=148, B=123",165,148,123,A5947B
Beige,"R=165, G=148, B=124",165,148,124,A5947C
Beige,"R=165, G=148, B=125",165,148,125,A5947D
Beige,"R=165, G=150, B=123",165,150,123,A5967B
Beige,"R=165, G=154, B=132",165,154,132,A59A84
Beige,"R=165, G=155, B=140",165,155,140,A59B8C
Beige,"R=165, G=158, B=133",165,158,133,A59E85
Beige,"R=165, G=158, B=148",165,158,148,A59E94
Beige,"R=165, G=159, B=143",165,159,143,A59F8F
Beige,"R=165, G=159, B=150",165,159,150,A59F96
Beige,"R=165, G=170, B=120",165,170,120,A5AA78
Beige,"R=166, G=133, B=102",166,133,102,A68566
Beige,"R=166, G=145, B=118",166,145,118,A69176
Beige,"R=166, G=150, B=127",166,150,127,A6967F
Beige,"R=166, G=158, B=132",166,158,132,A69E84
Beige,"R=166, G=159, B=149",166,159,149,A69F95
Beige,"R=167, G=144, B=126",167,144,126,A7907E
Beige,"R=167, G=149, B=135",167,149,135,A79587
Beige,"R=167, G=151, B=131",167,151,131,A79783
Beige,"R=167, G=152, B=131",167,152,131,A79883
Beige,"R=167, G=158, B=127",167,158,127,A79E7F
Beige,"R=167, G=159, B=146",167,159,146,A79F92
Beige,"R=167, G=160, B=150",167,160,150,A7A096
Beige,"R=167, G=164, B=155",167,164,155,A7A49B
Beige,"R=167, G=166, B=146",167,166,146,A7A692
Beige,"R=168, G=135, B=107",168,135,107,A8876B
Beige,"R=168, G=136, B=98",168,136,98,A88862
Beige,"R=168, G=145, B=107",168,145,107,A8916B
Beige,"R=168, G=148, B=130",168,148,130,A89482
Beige,"R=168, G=153, B=142",168,153,142,A8998E
Beige,"R=168, G=159, B=153",168,159,153,A89F99
Beige,"R=168, G=162, B=146",168,162,146,A8A292
Beige,"R=168, G=168, B=156",168,168,156,A8A89C
Beige,"R=169, G=121, B=75",169,121,75,A9794B
Beige,"R=169, G=152, B=114",169,152,114,A99872
Beige,"R=169, G=154, B=147",169,154,147,A99A93
Beige,"R=169, G=157, B=128",169,157,128,A99D80
Beige,"R=169, G=157, B=129",169,157,129,A99D81
Beige,"R=169, G=158, B=135",169,158,135,A99E87
Beige,"R=169, G=159, B=149",169,159,149,A99F95
Beige,"R=169, G=169, B=150",169,169,150,A9A996
Beige,"R=170, G=146, B=108",170,146,108,AA926C
Beige,"R=170, G=156, B=105",170,156,105,AA9C69
Beige,"R=170, G=156, B=130",170,156,130,AA9C82
Beige,"R=170, G=157, B=139",170,157,139,AA9D8B
Beige,"R=170, G=158, B=144",170,158,144,AA9E90
Beige,"R=170, G=161, B=153",170,161,153,AAA199
Beige,"R=170, G=162, B=123",170,162,123,AAA27B
Beige,"R=170, G=170, B=165",170,170,165,AAAAA5
Beige,"R=171, G=150, B=127",171,150,127,AB967F
Beige,"R=171, G=151, B=137",171,151,137,AB9789
Beige,"R=171, G=153, B=105",171,153,105,AB9969
Beige,"R=171, G=156, B=105",171,156,105,AB9C69
Beige,"R=171, G=157, B=128",171,157,128,AB9D80
Beige,"R=171, G=157, B=137",171,157,137,AB9D89
Beige,"R=171, G=161, B=149",171,161,149,ABA195
Beige,"R=171, G=162, B=133",171,162,133,ABA285
Beige,"R=171, G=167, B=152",171,167,152,ABA798
Beige,"R=172, G=134, B=101",172,134,101,AC8665
Beige,"R=172, G=154, B=131",172,154,131,AC9A83
Beige,"R=172, G=157, B=116",172,157,116,AC9D74
Beige,"R=172, G=157, B=126",172,157,126,AC9D7E
Beige,"R=172, G=158, B=131",172,158,131,AC9E83
Beige,"R=172, G=158, B=138",172,158,138,AC9E8A
Beige,"R=172, G=165, B=155",172,165,155,ACA59B
Beige,"R=172, G=168, B=153",172,168,153,ACA899
Beige,"R=172, G=168, B=159",172,168,159,ACA89F
Beige,"R=173, G=118, B=74",173,118,74,AD764A
Beige,"R=173, G=120, B=77",173,120,77,AD784D
Beige,"R=173, G=150, B=123",173,150,123,AD967B
Beige,"R=173, G=152, B=131",173,152,131,AD9883
Beige,"R=173, G=156, B=126",173,156,126,AD9C7E
Beige,"R=173, G=158, B=107",173,158,107,AD9E6B
Beige,"R=173, G=160, B=141",173,160,141,ADA08D
Beige,"R=173, G=165, B=136",173,165,136,ADA588
Beige,"R=173, G=166, B=156",173,166,156,ADA69C
Beige,"R=173, G=166, B=160",173,166,160,ADA6A0
